epoch,acc,loss,val_acc,val_loss
0,0.6771678924560547,0.5825427770614624,0.4957283139228821,0.7184527516365051
1,0.7721593379974365,0.4646981656551361,0.4957283139228821,0.8521097898483276
2,0.8259291052818298,0.36807307600975037,0.8135412335395813,0.3822926878929138
3,0.8715826272964478,0.2878548204898834,0.8481418490409851,0.3412964344024658
4,0.9096540212631226,0.21175245940685272,0.8720632195472717,0.31207120418548584
5,0.9446283578872681,0.1455831676721573,0.868005096912384,0.29875412583351135
6,0.964438259601593,0.09726079553365707,0.881033718585968,0.397694855928421
7,0.9690303206443787,0.07983356714248657,0.6527125239372253,1.645963191986084
8,0.9743699431419373,0.06868612766265869,0.8904314637184143,0.40127280354499817
9,0.9876121282577515,0.038965750485658646,0.80435711145401,1.0151373147964478
10,0.9929517507553101,0.025974638760089874,0.6702263951301575,2.293416976928711
11,0.9965292811393738,0.014605354517698288,0.637761652469635,2.9290285110473633
12,0.9986650943756104,0.008262977004051208,0.7449807524681091,1.6975470781326294
13,0.9988786578178406,0.00683013116940856,0.5939769148826599,3.8698627948760986
14,0.999252438545227,0.004650729242712259,0.8218709826469421,0.6848306655883789
15,0.9998397827148438,0.0022330451756715775,0.8575395345687866,0.5071479678153992
16,0.9998931884765625,0.0011934689246118069,0.894275963306427,0.36095502972602844
17,0.9998931884765625,0.0007938286871649325,0.8959846496582031,0.3581825792789459
18,0.9998931884765625,0.0006537605077028275,0.9032464623451233,0.3474760949611664
19,0.9998931884765625,0.001941852387972176,0.8848782777786255,0.39573559165000916
20,0.9748504757881165,0.06607405841350555,0.8697137832641602,0.4049800634384155
21,0.993485689163208,0.020073913037776947,0.8695002198219299,0.5997959971427917
22,0.9983447194099426,0.007398219313472509,0.881247341632843,0.4098195731639862
23,0.9999465942382812,0.0015398646937683225,0.8797522187232971,0.46449723839759827
24,0.9998931884765625,0.0007590582245029509,0.9105083346366882,0.34422188997268677
